X,SL_YN,Temp,Calls,Talk_Time
399,1,73.3,48002,1545
400,1,39.9,48247,1623
401,1,59.6,48328,1618
402,1,47.4,48338,1566
403,1,60.3,48474,1530
404,1,37.5,48593,1722
405,1,79.3,48604,1904
406,1,77.8,48838,2153
407,1,52.9,48851,1821
408,1,74.3,48924,1614
409,1,77,49033,1695
410,1,82.3,49042,2053
411,1,39,49049,1693
412,1,65.4,49071,1590
413,1,66.3,49131,1858
414,1,56.6,49158,1393
415,1,58.6,49190,1609
416,1,81.3,49214,2109
417,0,77.4,49227,1744
418,1,30.8,49301,1633
419,1,64.7,49332,1741
420,0,50,49333,1796
421,1,32.3,49343,1858
422,0,54.5,49351,1476
423,0,79.6,49362,1807
424,1,72.4,49365,1778
425,1,61.7,49389,1638
426,1,57.3,49394,1943
427,1,77.1,49589,1867
428,1,66.9,49618,2043
429,0,32.2,49828,2517
430,1,52.2,49912,1846
431,1,71.5,49983,1988
432,1,78.3,50008,2119
433,1,76.5,50291,1832
434,0,50.1,50466,607
435,1,73,50488,1808
436,0,47.6,50733,1684
437,0,73.7,50808,1694
438,1,75.5,50925,1796
439,0,30.9,51047,2285
440,1,78.8,51079,1793
441,1,38.1,51415,1521
442,1,69.5,51462,1930
443,1,63.4,51468,1579
444,1,56.5,51557,1370
445,1,57.4,51680,1717
446,1,55.4,51711,1454
447,1,20.8,51920,2037
448,1,76.2,52135,1670
449,1,79.7,52424,2170
450,1,68,52434,2012
451,0,25.2,52569,2149
452,1,48,52744,1872
453,1,60,52804,1958
454,0,47.5,52819,758
455,1,44.9,52891,1842
456,1,54.1,53009,2104
457,0,66.5,53026,1511
458,0,62.2,53044,1468
459,0,62.7,53125,1735
460,1,77.5,53192,1870
461,1,39,53208,1371
462,0,70,53297,1510
463,1,75.2,53628,1799
464,0,36.7,53662,2471
465,1,51.5,53817,1842
466,1,80.3,53881,1960
467,1,51,53903,1735
468,1,72.3,53969,1846
469,1,72.5,53973,1720
470,1,70.8,54109,2246
471,1,63.2,54164,1589
472,1,35.7,54247,1459
473,1,23.5,54285,2129
474,1,76.1,54313,1764
475,1,82.2,54416,2179
476,1,78.7,54423,1993
477,1,65.2,54552,1634
478,1,41.5,54586,1908
479,0,42,54613,1645
480,1,57.8,54663,1676
481,0,68.7,54899,1558
482,1,38.4,55002,1828
483,1,71.3,55234,1812
484,0,15.8,55246,1678
485,1,52.5,55465,1801
486,1,71.8,55755,1990
487,1,30,55771,2050
488,0,49.7,55895,1919
489,1,82.3,55924,2090
490,1,56,56329,1670
491,0,49.5,56372,1415
492,1,62.3,56450,1661
493,1,70.9,56483,1871
494,0,40.2,56512,1857
495,1,26.7,56557,1878
496,1,71.8,56634,1795
497,1,48.8,56749,1611
498,1,55.6,56779,1722
499,1,48.4,56813,1571
500,1,64.2,56860,1690
501,1,30.6,57055,1418
502,1,56.5,57278,1829
503,1,30.7,57530,1758
504,0,33.8,57596,2101
505,1,41.4,57776,1560
506,1,72.7,57816,2015
507,0,23,57933,1900
508,0,40.4,58022,1885
509,1,67,58034,1530
510,1,75.9,58089,1828
511,1,71.8,58251,1976
512,0,71.8,58272,671
513,1,51.9,58302,1831
514,1,62.1,58481,1949
515,1,73.5,58736,1928
516,0,27.2,58862,1969
517,1,54.1,59054,1565
518,1,63.1,59151,1582
519,1,47.7,59239,778
520,1,43.9,59376,2133
521,1,42.1,59458,1605
522,1,38.7,59522,1784
523,0,83.6,59669,1977
524,1,51.8,59729,1848
525,0,65.9,59858,1551
526,1,56.4,59886,1727
527,1,69.6,59948,2234
528,1,44.3,60225,1967
529,1,34.5,60316,1866
530,0,41.3,60423,1854
531,0,54.8,60458,1668
532,0,71.4,60734,1791
533,0,22.7,61060,959
534,1,87.2,61116,2172
535,0,18.5,61325,1261
